Country,League,Season,Date,Time,TeamHome,TeamAway,FTHG,FTAG,Res
Mexico,Liga MX,2022/2023,10/21/2022,3:06,Pachuca,Monterrey,5,2,H
Mexico,Liga MX,2022/2023,10/20/2022,3:06,Toluca,Club America,2,1,H
Mexico,Liga MX,2022/2023,10/17/2022,1:06,Santos Laguna,Toluca,1,2,A
Mexico,Liga MX,2022/2023,10/17/2022,3:06,Pachuca,U.A.N.L.- Tigres,2,1,H
Mexico,Liga MX,2022/2023,10/16/2022,0:06,Monterrey,Cruz Azul,3,0,H
Mexico,Liga MX,2022/2023,10/16/2022,2:06,Club America,Puebla,5,1,H
Mexico,Liga MX,2022/2023,10/14/2022,1:06,Toluca,Santos Laguna,4,3,H
Mexico,Liga MX,2022/2023,10/14/2022,3:06,U.A.N.L.- Tigres,Pachuca,1,0,H
Mexico,Liga MX,2022/2023,10/13/2022,1:06,Puebla,Club America,1,6,A
Mexico,Liga MX,2022/2023,10/13/2022,3:06,Cruz Azul,Monterrey,0,0,D
Mexico,Liga MX,2022/2023,10/9/2022,1:00,U.A.N.L.- Tigres,Necaxa,2,0,H
Mexico,Liga MX,2022/2023,10/9/2022,3:15,Cruz Azul,Club Leon,1,0,H
Mexico,Liga MX,2022/2023,10/9/2022,18:00,Toluca,Juarez,3,0,H
Mexico,Liga MX,2022/2023,10/9/2022,22:30,Puebla,Guadalajara Chivas,1,1,D
Mexico,Liga MX,2022/2023,10/3/2022,0:05,Santos Laguna,Mazatlan FC,3,0,H
Mexico,Liga MX,2022/2023,10/3/2022,2:00,Club Leon,Club Tijuana,2,2,D
Mexico,Liga MX,2022/2023,10/2/2022,1:05,Atlas,Necaxa,1,0,H
Mexico,Liga MX,2022/2023,10/2/2022,3:05,Cruz Azul,Guadalajara Chivas,2,1,H
Mexico,Liga MX,2022/2023,10/2/2022,18:00,Toluca,Queretaro,4,1,H
Mexico,Liga MX,2022/2023,10/1/2022,1:00,Puebla,Club America,1,2,A
Mexico,Liga MX,2022/2023,10/1/2022,3:00,Juarez,U.N.A.M.- Pumas,3,1,H
Mexico,Liga MX,2022/2023,10/1/2022,23:00,Atl. San Luis,U.A.N.L.- Tigres,0,3,A
Mexico,Liga MX,2022/2023,10/1/2022,23:05,Monterrey,Pachuca,0,0,D
Mexico,Liga MX,2022/2023,9/24/2022,1:00,Necaxa,Mazatlan FC,2,2,D
Mexico,Liga MX,2022/2023,9/24/2022,3:05,Puebla,U.N.A.M.- Pumas,2,1,H
Mexico,Liga MX,2022/2023,9/19/2022,1:05,Club Leon,Queretaro,3,1,H
Mexico,Liga MX,2022/2023,9/19/2022,1:05,Santos Laguna,Juarez,2,0,H
Mexico,Liga MX,2022/2023,9/19/2022,3:00,Atl. San Luis,Pachuca,1,2,A
Mexico,Liga MX,2022/2023,9/19/2022,3:05,Club Tijuana,Necaxa,1,1,D
Mexico,Liga MX,2022/2023,9/18/2022,1:05,Monterrey,Atlas,2,0,H
Mexico,Liga MX,2022/2023,9/18/2022,2:00,Club America,Guadalajara Chivas,2,1,H
Mexico,Liga MX,2022/2023,9/18/2022,23:00,U.N.A.M.- Pumas,Cruz Azul,1,2,A
Mexico,Liga MX,2022/2023,9/17/2022,1:00,Puebla,U.A.N.L.- Tigres,2,1,H
Mexico,Liga MX,2022/2023,9/17/2022,3:00,Mazatlan FC,Toluca,1,1,D
Mexico,Liga MX,2022/2023,9/16/2022,1:00,Cruz Azul,Club Leon,2,1,H
Mexico,Liga MX,2022/2023,9/15/2022,3:05,Club America,Santos Laguna,3,3,D
Mexico,Liga MX,2022/2023,9/15/2022,3:05,Juarez,Pachuca,2,1,H
Mexico,Liga MX,2022/2023,9/14/2022,3:00,Guadalajara Chivas,U.A.N.L.- Tigres,1,4,A
Mexico,Liga MX,2022/2023,9/12/2022,0:05,Atlas,Atl. San Luis,1,3,A
Mexico,Liga MX,2022/2023,9/12/2022,2:05,Pachuca,Club Tijuana,6,1,H
Mexico,Liga MX,2022/2023,9/11/2022,1:00,Necaxa,Club America,1,2,A
Mexico,Liga MX,2022/2023,9/11/2022,1:05,U.A.N.L.- Tigres,Club Leon,0,1,A
Mexico,Liga MX,2022/2023,9/11/2022,3:05,Guadalajara Chivas,Puebla,1,0,H
Mexico,Liga MX,2022/2023,9/11/2022,3:05,Toluca,U.N.A.M.- Pumas,2,2,D
Mexico,Liga MX,2022/2023,9/11/2022,22:00,Cruz Azul,Mazatlan FC,2,0,H
Mexico,Liga MX,2022/2023,9/10/2022,3:05,Juarez,Monterrey,0,1,A
Mexico,Liga MX,2022/2023,9/10/2022,23:00,Queretaro,Santos Laguna,3,3,D
Mexico,Liga MX,2022/2023,9/8/2022,1:00,Puebla,Pachuca,2,2,D
Mexico,Liga MX,2022/2023,9/8/2022,1:00,U.A.N.L.- Tigres,Toluca,3,1,H
Mexico,Liga MX,2022/2023,9/8/2022,3:00,Mazatlan FC,Atlas,1,0,H
Mexico,Liga MX,2022/2023,9/8/2022,3:05,Club Tijuana,Guadalajara Chivas,1,2,A
Mexico,Liga MX,2022/2023,9/8/2022,3:05,U.N.A.M.- Pumas,Queretaro,4,1,H
Mexico,Liga MX,2022/2023,9/7/2022,1:00,Club Leon,Juarez,1,0,H
