Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2021/2022,11/20/2021,11:30,Warta Poznan,Wisla Plock,1,2,A,"2,68","3,15","2,97","2,69","3,26",3,"2,56","3,04","2,86"
Poland,Ekstraklasa,2021/2022,11/20/2021,14:00,Jagiellonia,Wisla,3,1,H,"2,43","3,55",3,"2,5","3,59","3,04","2,4","3,35","2,84"
Poland,Ekstraklasa,2021/2022,11/20/2021,16:30,Stal Mielec,Lechia Gdansk,3,3,D,"3,29","3,49","2,29","3,4","3,55","2,34","3,14","3,38","2,2"
Poland,Ekstraklasa,2021/2022,11/20/2021,19:00,Lech Poznan,Piast Gliwice,1,0,H,"1,43","4,64","8,7","1,43",5,"9,56","1,38","4,57","8,01"
Poland,Ekstraklasa,2021/2022,11/21/2021,11:30,Termalica B-B.,Leczna,1,1,D,"1,7","3,85","5,44","1,74","3,92","5,5","1,67","3,75","4,96"
Poland,Ekstraklasa,2021/2022,11/21/2021,14:00,Pogon Szczecin,Slask Wroclaw,2,1,H,"1,67","3,9","5,66","1,83","3,91","5,8","1,65","3,7","5,19"
Poland,Ekstraklasa,2021/2022,11/21/2021,16:30,Gornik Z.,Legia,3,2,H,"2,79","3,3","2,73","3,05","3,44","2,73","2,73","3,22","2,55"
Poland,Ekstraklasa,2021/2022,11/22/2021,17:00,Zaglebie,Radomiak Radom,0,2,A,"2,73","3,34","2,77","2,73","3,36","2,84","2,62","3,16","2,68"
Poland,Ekstraklasa,2021/2022,11/22/2021,19:30,Cracovia,Rakow,1,0,H,"3,35","3,52","2,24","3,4","3,52","2,3","3,16","3,33","2,2"
Poland,Ekstraklasa,2021/2022,11/26/2021,17:00,Piast Gliwice,Termalica B-B.,2,1,H,2,"3,56","4,05","2,04","3,64","4,2","1,95","3,43","3,81"
Poland,Ekstraklasa,2021/2022,11/26/2021,19:30,Wisla,Radomiak Radom,0,1,A,"2,4","3,51","3,06","2,45","3,61","3,1","2,36","3,36","2,87"
Poland,Ekstraklasa,2021/2022,11/27/2021,11:30,Leczna,Gornik Z.,1,2,A,"4,39","3,75","1,85","4,91","3,92","1,95","4,23","3,54","1,82"
Poland,Ekstraklasa,2021/2022,11/27/2021,14:00,Slask Wroclaw,Stal Mielec,2,1,H,"1,66","4,09","5,45","1,73","4,1","5,62","1,64","3,87","4,98"
Poland,Ekstraklasa,2021/2022,11/27/2021,16:30,Pogon Szczecin,Lechia Gdansk,5,1,H,"1,7","3,91","5,32","1,8","3,91","5,32","1,69","3,69","4,89"
Poland,Ekstraklasa,2021/2022,11/27/2021,19:00,Rakow,Zaglebie,4,0,H,"1,6","4,17","5,96","1,61","4,25","6,01","1,57",4,"5,48"
Poland,Ekstraklasa,2021/2022,11/28/2021,11:30,Wisla Plock,Cracovia,2,1,H,"2,42","3,17","3,34","2,45","3,28","3,36","2,34","3,08","3,15"
Poland,Ekstraklasa,2021/2022,11/28/2021,14:00,Lech Poznan,Warta Poznan,2,0,H,"1,32","5,26","11,69","1,34",6,12,"1,3","5,13","9,84"
Poland,Ekstraklasa,2021/2022,11/28/2021,16:30,Legia,Jagiellonia,1,0,H,"1,88","3,57","4,6","1,88","3,88","4,65","1,81","3,56","4,25"
Poland,Ekstraklasa,2021/2022,12/3/2021,17:00,Stal Mielec,Wisla Plock,2,1,H,"2,74","3,32","2,77","2,78","3,4","2,8","2,63","3,17","2,68"
Poland,Ekstraklasa,2021/2022,12/3/2021,19:30,Gornik Z.,Slask Wroclaw,3,1,H,"2,02","3,56","3,94","2,05","3,65","3,94","1,98","3,45","3,67"
Poland,Ekstraklasa,2021/2022,12/4/2021,14:00,Termalica B-B.,Pogon Szczecin,1,3,A,"5,92","3,86","1,66","6,2","4,13","1,7","5,51","3,84","1,6"
Poland,Ekstraklasa,2021/2022,12/4/2021,16:30,Jagiellonia,Leczna,1,2,A,"1,59","4,1","6,3","1,6","4,2","6,8","1,54",4,"5,88"
Poland,Ekstraklasa,2021/2022,12/4/2021,19:00,Lechia Gdansk,Rakow,3,1,H,"3,3","3,29","2,38","3,31","3,42","2,4","3,11","3,23","2,29"
Poland,Ekstraklasa,2021/2022,12/5/2021,16:30,Zaglebie,Lech Poznan,2,3,A,"7,38","4,77","1,46","8,2","4,77","1,52","7,02","4,47","1,43"
Poland,Ekstraklasa,2021/2022,12/5/2021,19:00,Cracovia,Legia,1,0,H,"3,23","3,33","2,39","3,23","3,46","2,5","2,92","3,22","2,41"
Poland,Ekstraklasa,2021/2022,12/6/2021,17:00,Warta Poznan,Wisla,1,1,D,"2,98","3,17","2,66","2,98","3,25","2,9","2,75","3,09","2,62"
Poland,Ekstraklasa,2021/2022,12/10/2021,17:00,Stal Mielec,Termalica B-B.,1,0,H,"2,65","3,36","2,84","2,65","3,46","2,95","2,5","3,24","2,78"
Poland,Ekstraklasa,2021/2022,12/10/2021,19:30,Rakow,Piast Gliwice,1,0,H,"1,8","3,57","5,16","1,8","3,95","5,4","1,73","3,59","4,76"
Poland,Ekstraklasa,2021/2022,12/11/2021,14:00,Radomiak Radom,Lech Poznan,2,1,H,"4,5","3,8","1,84","4,5","3,8","1,9","4,19","3,57","1,82"
