Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,02/01/2023,15:00,Hearts,Hibernian,3,0,H,2,0,H,K Clancy,9,14,5,4,10,14,3,4,2,3,0,30.12
SC0,02/01/2023,15:00,Kilmarnock,St Mirren,0,0,D,0,0,D,G Irvine,12,6,3,0,8,11,6,4,2,3,0,31.12
SC0,02/01/2023,15:00,Livingston,Motherwell,1,1,D,1,1,D,D Munro,11,16,6,5,8,15,5,4,3,2,0,30.12
SC0,02/01/2023,15:00,St Johnstone,Dundee United,0,1,A,0,0,D,G Grainger,8,10,2,2,13,8,3,2,3,1,0,30.12
SC0,28/12/2022,19:45,Dundee United,Ross County,3,0,H,1,0,H,C Graham,11,8,6,0,12,10,3,2,2,0,0,31.12
SC0,28/12/2022,19:45,Kilmarnock,Aberdeen,2,1,H,2,0,H,D Robertson,17,9,4,2,12,11,2,6,2,2,0,30.12
SC0,28/12/2022,19:45,Livingston,St Mirren,1,1,D,0,0,D,S McLean,8,16,3,4,8,17,4,5,1,2,1,31.12
SC0,28/12/2022,19:45,Rangers,Motherwell,3,0,H,2,0,H,D Dickinson,19,6,10,2,8,14,7,7,2,3,0,30.12
SC0,28/12/2022,19:45,St Johnstone,Hearts,2,3,A,0,2,A,W Collum,15,16,3,3,14,7,4,11,4,1,0,30.12
SC0,28/12/2022,20:00,Hibernian,Celtic,0,4,A,0,2,A,A Muir,6,20,1,7,9,7,5,14,0,0,0,30.12
SC0,24/12/2022,12:30,Celtic,St Johnstone,4,1,H,3,0,H,K Clancy,20,7,10,3,12,4,9,1,2,1,1,30.12
SC0,24/12/2022,12:30,St Mirren,Aberdeen,3,1,H,1,1,D,N Walsh,16,11,4,5,16,8,8,5,4,1,0,31.12
SC0,24/12/2022,14:00,Dundee United,Hearts,2,2,D,1,1,D,C Steven,11,14,6,3,15,8,6,9,4,2,0,30.12
SC0,24/12/2022,14:00,Hibernian,Livingston,4,0,H,3,0,H,C Napier,27,8,11,3,13,14,9,1,2,4,0,31.12
SC0,23/12/2022,19:30,Ross County,Rangers,0,1,A,0,1,A,D Robertson,6,17,1,6,17,6,0,4,2,1,0,30.12
SC0,23/12/2022,19:45,Motherwell,Kilmarnock,2,2,D,1,0,H,J Beaton,15,3,4,2,15,12,13,1,2,0,0,31.12
SC0,21/12/2022,19:45,Celtic,Livingston,2,1,H,2,1,H,E Anderson,23,3,10,2,10,8,10,1,2,3,0,30.12
SC0,20/12/2022,20:00,Aberdeen,Rangers,2,3,A,1,1,D,W Collum,8,14,2,8,8,13,3,5,5,5,0,30.12
SC0,17/12/2022,12:30,Aberdeen,Celtic,0,1,A,0,0,D,S McLean,2,33,0,10,8,8,0,7,1,0,0,30.12
SC0,17/12/2022,15:00,Hearts,Kilmarnock,3,1,H,2,0,H,W Collum,13,14,5,5,17,17,7,2,1,1,0,30.12
SC0,17/12/2022,15:00,Ross County,St Johnstone,1,2,A,1,0,H,G Grainger,3,21,1,7,9,8,0,6,1,1,1,30.12
SC0,15/12/2022,20:00,Rangers,Hibernian,3,2,H,1,2,A,N Walsh,22,8,9,5,10,10,8,4,1,3,0,30.12
SC0,12/11/2022,12:30,St Mirren,Rangers,1,1,D,0,0,D,K Clancy,10,14,3,4,13,11,6,5,2,1,0,30.12
SC0,12/11/2022,15:00,Celtic,Ross County,2,1,H,0,0,D,D Munro,22,2,7,2,14,5,9,0,1,4,0,30.12
SC0,12/11/2022,15:00,Hearts,Livingston,1,1,D,0,0,D,C Napier,15,18,6,7,9,10,11,6,1,1,1,30.12
SC0,12/11/2022,15:00,Kilmarnock,Hibernian,1,0,H,0,0,D,D Dickinson,6,15,1,1,12,13,0,5,2,3,0,30.12
